name,hq,data_filings,median_wage,naics,relevant_title,other_titles,score
"Little Caesar Enterprises, Inc.","Detroit, MI",6,125815,31199,Data Engineer,Lead Bi Developer | Sr. Database Administrator,41.6
"Nomura America Services, LLC","New York, NY",5,130000,523110,"Associate, Data Protection Platform Engineer","Analyst, Senior Developer | Vp, Sr. Principal Project Manager/Business Analyst",41.6
"Schrodinger, Inc.","New York, NY",7,121100,541511,Enterprise Data Engineer I,Postdoctoral Fellow | Senior Qa Scientist I,41.6
"Specialist Resources Global, Inc.","Franklin, TN",6,119002,541511,Systems Engineer (Analyst),Analyst | Senior Analyst,41.6
"Venture Global LNG, Inc.","Arlington, VA",5,130000,211130,Business Intelligence Analyst,"Senior Business Intelligence Developer | Analyst, Computer Systems-Interface",41.6
WAYNSYS INC.,"Edison, NJ",9,105997,541511,Information Technology Analyst,Senior System Analyst | Business Intelligence Developer,41.6
Zaffre Health Plan Solutions LLC,"Boston, MA",7,134550,524114,Senior Data Engineer,Sr. Data Engineer | Data Scientist,41.6
"ASICS Digital, Inc.","Boston, MA",6,131685,518210,"Senior Manager, Analytics",Senior Data Engineer | Data Scientist,41.5
Adaptimmune LLC,"Philadelphia, PA",2,162500,621511,Principal Biostatistician,Principal Programmer,41.5
"Applied Systems, Inc.","Chicago, IL",3,151819,541511,"Director, Data Engineering",Product Manager | Staff Data Scientist,41.5
Aurora Energy Research LLC,"Austin, TX",11,86450,541690,Research Analyst,Advisory Analyst | Research Lead,41.5
"Availity, LLC","Jacksonville, FL",6,131900,541512,Data Platform Engineer,Machine Learning Engineer | Big Data Software Engineer,41.5
CELORIS TECH LLC,"Charlotte, NC",11,83762,541511,Business Systems Analyst,Cloud Data Engineer | Data Bi Engineer/Software Developer,41.5
COGNIER INC,"Buford, GA",11,88608,541519,Data Analyst,Sql Server Database  Administrator | Senior Data Scientist,41.5
Cognex Corporation,"Natick, MA",4,140400,541511,Senior Business Analyst,It Business Process Lead - Configure Price Quote | Consulting Technology Specialist,41.5
"Cvent, Inc.","Mclean, VA",2,162793,541512,Lead Business Analyst,Lead Hr System Analyst,41.5
DEVANSH LAB WERKS INC,"Homewood, AL",17,67995,621511,Clinical Data Engineer,Clinical Data Analyst | Healthcare Ai Engineer,41.5
Edvenswa Tech Inc,"Roswell, GA",11,89877,541511,Business Analyst,Data Scientist | Quantitative Research Analyst,41.5
Excelon Solutions LLC,"Carrollton, TX",11,89898,541511,Data Engineer,Senior Sql Database Administrator | Senior Technical Operations Engineer,41.5
First Quality Enterprises LLC,"Great Neck, NY",2,169400,322121,Sap Extended Warehouse Management Solution Architect,,41.5
Greenheck Fan Corporation,"Schofield, WI",3,151466,333413,Systems Analyst Solutions Architect,Systems Analyst - Solutions Expert | Configuration Analyst I,41.5
"I&I Software, Inc","Bethlehem, PA",9,98925,541511,Quality Assurance Analyst,Business Intelligence Developer | Database Administrator,41.5
KAGR LLC,"Foxborough, MA",11,80000,518210,Data Engineer 2,Data Engineer 1 | Data Engineer,41.5
Kasmo INC,"Plano, TX",11,90100,541511,Data Engineer,Data Architect | Data Bi Analyst,41.5
Lumeris Group Holdings Corporation,"Maryland Heights, MO",6,125246,54151,Principal Data Engineer,Sr. Netsuite Administrator | Senior Database Administrator,41.5
"Macy's Retail Holdings, LLC","Johns Creek, GA",2,162800,45511,"Crm, Senior Analyst","Senior, Instrumentation",41.5
Mount Sinai Hospital  Medical Center of Chicago,"Chicago, IL",3,158089,622110,Data Engineer,Senior Data Engineer,41.5
NEON IT LLC,"Mckinney, TX",11,83450,541618,Software Quality Assurance Analyst And Tester,Software Developer | Business Analysts,41.5
"Nasdaq, Inc.","New York, NY",7,114310,52232,Data Engineer Specialist,"Business Analyst, Senior Specialist | Manager “ Audit “ Ns",41.5
Numerical Algorithms Group Inc.,"Lisle, IL",2,169024,541330,Senior Hpc Computational Scientist,,41.5
"Qloo, Inc.","New York, NY",2,162500,541720,Llm Research Lead,Applied Machine Learning Analyst,41.5
RWE Trading Americas Inc.,"Chicago, IL",2,162500,2211,Machine Learning Scientist,Us Long-Term Power Modelling Analyst,41.5
"STECK SYSTEMS, INC","Austin, TX",11,87672,541511,Data Engineer,Business Analyst | Etl Test Engineer,41.5
SUMERU TECHNOLOGIES LLC,"Lisle, IL",11,89000,5415,Ai / Gen Ai Engineer,Business Analyst | Senior Data Analyst,41.5
Springworks Therapeutics Operating Company,"Stamford, CT",3,158000,325412,Senior Statistical Programmer,Senior Clinical Data Manager,41.5
TECHLIGENT SYSTEMS INC.,"Vienna, VA",11,,541511,Business Analyst,Management Analyst | It Analyst,41.5
"THE REALLY USEFUL INFORMATION COMPANY, LLC","Ann Arbor, MI",2,162800,541511,Computer & Research Scientist – Ai & Deep Learning,Computer & Research Scientist “ Ai & Deep Learning,41.5
Temple University--A Commonwealth University,"Philadelphia, PA",11,61428,611310,Marketing Strategy Analyst,Postdoctoral Fellow Research Associate | Senior Database Analyst,41.5
Tetrus Corp.,"East Brunswick, NJ",11,82555,541511,Computer Systems Analyst,Business Intelligence Analyst | Technical Business Analyst,41.5
"The Stellar Health Group, Inc.","New York, NY",2,162500,541715,Engineer - Data Platform,"Director, Business Development",41.5
"Varnar, Inc","Sterling, VA",6,125000,541511,Business Analyst,Sap Hana Security Dba | Sap Fico Consultant,41.5
"Wolverine World Wide, Inc.","Rockford, MI",2,162775,31621,Lead Power Bi Developer,Sr. It Reporting Manager,41.5
AMERISOFTPRO SYSTEMS LLC,"Farmington Hills, MI",7,120328,541512,Etl Developer,Sap Brim Data Engineer | It Analyst,41.4
Advance Magazine Publishers Inc.,"New York, NY",5,135782,51319,Senior Business Intelligence Engineer,Data Engineer Ii | Data Science Manager,41.4
"Advisor360, LLC","Weston, MA",3,151000,541511,"Sr. Product Manager, Data Integration & Workflows",Senior Data Engineer | Database Engineer Iii,41.4
"CY9, INC.","Lewisville, TX",11,96189,561311,Data Analyst,Database Administrator | Data Engineer,41.4
Contrive Solutions Inc.,"Northborough, MA",14,102750,541511,Data Engineer,Etl Tester | Technical Business Analyst,41.4
"Dick Blick Holdings, Inc.","Galesburg, IL",3,151000,453998,Cloud Data Engineer,Business Analyst | Lead Sql Dba,41.4
EXELIQ CONSULTING INC,"Schaumburg, IL",13,93974,541519,Cloud Data Engineer,Principal Data Engineer | Senior Consultant,41.4
"GAVS Technologies N.A., Inc.","Princeton, NJ",9,91749,541511,Systems Analyst,"Data Analyst Report Writer | Senior Engineer, Etl/Ab Initio",41.4
Narwal Inc.,"Cincinnati, OH",11,96000,541512,Data Engineer,Business Analyst | Data Architect,41.4
"Schnuck Markets, Inc.","St. Louis, MO",9,105000,44511,Data & Insights Analyst,Data Scientist | Database Architect,41.4
Sun-IT Solutions Inc.,"Jacksonville, FL",8,109446,541511,Business Analyst,Senior Statistical Programmer | Data Engineer,41.4
"TMNA Services, LLC","New York, NY",8,116060,524210,Senior Business Analyst,Management Associate | Senior Quality Assurance Analyst,41.4
Taula Capital Management (US) LLC,"New York, NY",2,162063,5239,Director Of Ai,Ai Engineer,41.4
"Tokyo Electron U.S. Holdings, Inc.","Austin, TX",4,139999,3344,Hr Technology Operations Analyst Iii,Senior Sap Business Analyst | Principal Data Engineer,41.4
WILSON SPORTING GOODS CO.,"Chicago, IL",6,131366,33992,Senior Sap Analyst,Senior Sap Fico Analyst | Sap Scm Analyst,41.4
"Walker Healthforce, LLC","Bloomfield Hills, MI",6,124800,54169,Qa Analyst Ii,Senior Qa Analyst | Sr. Quality Analyst,41.4
ACCELERA TECHNOLOGIES INC,"Dallas, TX",16,99913,541511,Computer Systems Analyst,Computer System Analyst,41.3
APPIAN WAY ENERGY PARTNERS LLC,"Cambridge, MA",3,157500,541690,Power Analyst/Energy Trader,Power Analyst,41.3
Adtalem Global Education Inc.,"Chicago, IL",10,100318,92311,Analytics Developer,Senior Data Engineer | Data Engineer,41.3
"Atlas Air, Inc.","White Plains, NY",4,139900,481212,"Manager, Enterprise Data Warehouse",Manager Commercial Enablement | Analyst Chief Pilot Operations,41.3
"CYGNUS PROFESSIONALS, INC.","Princeton, NJ",8,95784,54151,Data Analyst,It Analyst | Clinical Data Scientist,41.3
Cigna Health and Life Insurance Company,"Bloomfield, CT",4,146180,52411,Business Analytics Senior Advisor,It Project Management Principal | Cloud Engineering Advisor,41.3
"FRANKLIN INFOTECH, INC.","South Plainfield, NJ",8,95600,541511,Data Tester,Power Bi Developer | Etl - Data Tester,41.3
Fidelity Management & Research Company LLC,"Boston, MA",8,95732,52399,Senior Data Engineer,"Am Quantitative Analyst Ii | Senior Manager, Finance",41.3
"Hyster-Yale Materials Handling, Inc.","Greenville, NC",5,135200,423830,It Business Analyst Lead,Analyst Iv | Data Engineer Iii,41.3
"ILOGIC TEK , L.L.C","Westborough, MA",10,100000,541511,Database Engineer,Software Engineer/ Data Engineer | Data Architect,41.3
"KnowBe4, Inc.","Clearwater, FL",6,124119,611430,Sr. Data Analyst,Sr. Data Engineering Manager | Ai Integration Engineer,41.3
"Lockton Management, LLC","Kansas City, MO",5,135533,524210,Lead Data Engineer,Business Data Analyst | Tableau Developer,41.3
NIMBUSAITECH LLC,"Glen Allen, VA",12,104469,541511,Data Engineer,Data Analyst | Sr. Cloud Architect,41.3
"OOTB Minds, Inc.","Washington, DC",7,120000,541511,Curam Data Analyst,Curam Etl Developer | Curam Bi Analyst,41.3
"OPUS TECHNOLOGIES, INC.","Alpharetta, GA",4,139655,541512,Lead Business Analyst,Senior Business Analyst | Technical Architect,41.3
STIAOS TECHNOLOGIES INC,"Houston, TX",10,93486,541511,Sr Qa Analyst,Sap Business Analyst | Software Developer,41.3
"SunTec Business Solutions, Inc.","Canonsburg, PA",13,106700,541512,Computer System Analyst,Computer Systems Analyst | Computer Systems Analysts,41.3
TECHWAVE CONSULTING INC,"Houston, TX",8,108888,541511,Senior Systems Analyst,Sap Enterprise Architect | Qa Analyst,41.3
"Astrix Technology, LLC","Red Bank, NJ",4,139431,54171,Business Analyst,Senior Consultant - Clinical & Regulatory Services | Consultant,41.2
Blue Cross and Blue Shield of North Carolina,"Durham,, NC",2,161431,524114,Principal Data Engineer,Sr Data Engineer,41.2
"Conduent Business Process Optimization Services, Inc.","Richardson, TX",8,121758,541512,Senior Database Administration Analyst,"Senior It Quality Assurance Analyst | Senior Manager, Applications Development And Support",41.2
"Evidera, Inc.","Bethesda, MD",10,106482,54169,Senior Research Associate,Research Associate Iii | Scientific Affairs Specialist Ii,41.2
FCA US LLC,"Auburn Hills, MI",5,134992,3361,Data Scientist,Global Director - Data And Ubi Products | Senior Data Engineer,41.2
"Imprint Payments, Inc.","New York, NY",5,135000,522320,Business Intelligence Engineer,"Director: Data Science And Collections Strategy | Manager, Analytics & Data Science",41.2
Logik.io Inc.,"Deerfield, IL",4,152598,511210,Ai Lead Software Engineer,Ai Software Development Engineer,41.2
"London Stock Exchange Group Holdings, Inc.","New York, NY",6,117193,52321,"Analyst, Customer Insights & Analytics","Senior Qa Analyst | Senior Specialist, Index Review & Management",41.2
MindShare USA LLC,"New York, NY",6,130500,541810,"Associate Director, Advanced Analytics","Director, Data Operations | Associate Director, Business Intelligence",41.2
Occidental Petroleum Corporation,"Houston, TX",8,108600,2111,Analyst It Systems Sr,Analyst Data D&C Senior | Eng Analytics,41.2
"Podimetrics, Inc.","Somerville, MA",2,167712,33911,Senior Machine Learning Engineer,,41.2
Ranpak Corporation,"Concord Township, OH",2,161120,423840,Sr. Lead Power Business Intelligence Analyst,Application Leader  (Ptm Solution Enablement),41.2
"Resultant, LLC","Indianapolis, IN",12,97500,5416,Data Engineer,Data Scientist | Senior Bi Consultant,41.2
Sealed Air Corporation (US),"Charlotte, NC",5,128224,326112,Business Analyst – Sap Sd & Logistics,Sr. It Business Analyst | People Technology Analyst,41.2
"Stride, Inc.","Reston, VA",4,139485,611710,Sr. Etl Developer,"Senior Etl (Extract, Transform, And Load) Developer | Product Management Analyst (Product Owner)",41.2
"Techouts, Inc.","Herndon, VA",8,101800,541511,Data Engineer,Sr. Data Engineer | Senior Business Analyst,41.2
"ARNISYS, LLC","Prosper, TX",8,94650,541511,Quality Assurance Analyst/Tester 3,Sap Analyst Iii | Asp.Net Analyst Ii,41.1
"Aryadit Solutions, Inc.","Dallas, TX",14,95000,541511,Senior Business Analyst,Business Analyst | Business Intelligence Analyst 2,41.1
Baylor Research Institute,"Dallas, TX",8,95000,54171,Analytics Developer I,Biostatistician Iii | Biostatistician I,41.1
"ENIGMA TECHNOLOGIES, INC.","New York, NY",3,150000,5112,"Senior Manager, Product Research Analytics",Product Analyst | Senior Data Scientist,41.1
Ensemble RCM LLC,"Blue Ash, OH",3,150000,541612,"Lead Engineer, Data","Engineer Ii, Data | Senior Data Engineer",41.1
"Guidepoint Global, LLC","New York, NY",3,150000,541611,Lead Data Engineer,Data Scientist | Senior Business Intelligence Developer,41.1
HD Consulting Service LLC,"New York, NY",3,150000,541611,Senior Quantitative Analyst,Senior Business Development Analyst | Market Research Analyst,41.1
Homeward Health Inc.,"Grand Rapids, MI",3,150000,6216,Senior Data Scientist,Senior Data Analyst | Senior Data Scientist - Causal Inference,41.1
Latent AI Inc,"Princeton, NJ",2,160750,541519,Ai Research Scientist,Ai Application Engineer,41.1
"Macrosoft, Inc.","Bedminster, NJ",7,105750,541511,Machine Learning Engineer,Business Systems Analyst | Quadient Inspire Business Analyst,41.1
"North American Bancard, LLC","Troy, MI",2,160810,522320,"Business Intelligence Architect, Senior","Manager, Database Administration",41.1
Parkland Center for Clinical Innovation,"Dallas, TX",3,150000,813212,Senior Data Engineer,Principal Data Scientist | Senior Data And Applied Scientist,41.1
"RESPONSE INFORMATICS, INC.","Princeton, NJ",4,152062,541511,Business Analyst,Vice President - Ai And Data Practice,41.1
"Refresco Beverages US, Inc.","Tampa, FL",3,150000,312111,Enterprise Applications Functional Analyst Iii,"Reporting Architect | Senior Manager, Pmo",41.1
Siemens Financial Services,"Iselin, NJ",6,123516,522320,Cross Application Support Analyst,Funding Analyst | Business Analyst,41.1
Simaxive Technologies Inc,"Memphis, TN",11,95000,541511,Database Developer,Bi Developer | Sap Successfactor Analyst,41.1
W. L. Gore & Associates Inc.,"Newark, DE",2,160896,423450,It Technical Analyst Adobe Experience Manager,E2E Business Process Analyst,41.1
ACV Auctions Inc.,"Buffalo, NY",9,88254,425120,Senior Logistics Analyst,"Staff Engineer, Data Science & Machine Learning | Engineer Iii, Analytics",41.0
Administrators of the Tulane Educational Fund,"New Orleans, LA",9,60000,611310,Biostatistician,Research Scientist | Assistant Director Of Digital Health,41.0
"American Software Resources, Inc.","Woodmere, NY",12,,541519,Business Intelligence Analyst,Systems Analyst | Data Engineer 2 - Bi,41.0
Analytic Vizion Inc,"Marietta, GA",2,167000,541511,Analytics Consulting Leader,,41.0
"Antares Capital, LP","Chicago, IL",2,160555,52399,Data Engineer,"Vice President, Sql Development",41.0
"Anu Software Consultants, Inc.","Ann Arbor, MI",9,79914,541519,Database Administrator,Sas Analyst | Business Analyst,41.0
Apparatus Consulting Group LLC,"Suwanee, GA",2,167007,541511,Senior Systems Analyst,,41.0
"Applied Underwriters, Inc.","Omaha, NE",6,142882,525190,Technical Analyst,Technical Analyst Team Leader,41.0
"Belk, Inc.","Charlotte, NC",5,127345,45221,Lead Systems Analyst,Sr. Application Support  Analyst | Analytics Engineer,41.0
Biztegy Analytics Inc,"Arlington Heights, IL",9,90022,541511,Python Full-Stack Data Engineer,Data Science Solutions Developer | Cloud Data Engineer,41.0
City of Philadelphia,"Philadelphia, PA",9,79000,921190,Senior Data Analyst,Oracle Datawarehouse Analyst | System Performance Analyst,41.0
"Cyber Infotech, LLC","Gaithersburg, MD",9,77800,541511,Data Engineer,Technical Business Analyst | Business Analyst,41.0
"Energy Transfer Partners, L.L.C.","Dallas, TX",2,160600,486210,Principal Specialist - It Sap Hana Database Administration,Lead Specialist - It Sap Hana Basis Administrator,41.0
Excel Associates LLC,"Alpharetta, GA",12,90000,541511,Computer Systems Analyst,Software Engineer (Etl Data Processing) | Sr. Computer Systems Analyst,41.0
GAC Solutions Inc,"Schaumburg, IL",9,90000,561311,Database Engineer,Sap Consultant | Data Engineer,41.0
GENOME INTERNATIONAL CORPORATION,"Madison, WI",12,103313,541511,Programmer Analyst,It Business Analyst | Senior It Analyst,41.0
I3GLOBALTECH INC,"Ballwin, MO",10,92227,541511,Data Engineer,Etl Developer | Business Analyst/Data Analyst,41.0
Jackson Hewitt Technology Services,"Sarasota, FL",7,118450,541213,Bi Developer Ii,"Manager, Marketing Analytics | Developer 1 (Business Intelligence)",41.0
"Lendem Solutions, LLC","Plano, TX",7,125000,541611,Data Scientist,Senior Data Scientist | Data Engineer,41.0
Logistics Plus Inc.,"Erie, PA",9,89000,541614,Supply Chain Data Analyst,Business Intelligence And Analytics Specialist | Supply Chain Data Analytics Coordinator,41.0
Menzo Technologies Corp,"Somerset, NJ",9,82555,541511,Data Engineer,"Etl Developer | Senior Applications Engineer, Oal Bi",41.0
"Mercuria Energy America, LLC","Houston, TX",5,127483,523130,Application Support Analyst - Rt Desk,Artificial Intelligence Scientist | Database Administrator,41.0
Mid-Atlantic Permanente Medical Group,"Rockville, MD",15,82680,621111,Data Analyst,Senior Data Analyst | Data Consultant,41.0
"Moore Capital Management, LP","New York, NY",4,145000,523940,Analyst,Quantitative Analyst | Financial Engineer,41.0
"NS IT  Solutions, LLC","Old Bridge, NJ",12,74500,541511,Business Quality Analyst,Software Quality Assurance Analyst | Business Analyst,41.0
"NYC GRAVITYNET, LLC.","Melville, NY",9,89253,541511,Snowflake Data Engineer,Clinical Data Manager | Data Engineer (Model Risk Manager),41.0
"PRGX USA, Inc.","Atlanta, GA",2,160373,541219,"Senior Data Scientist, Generative Ai",Infrastructure Architect,41.0
Praval Technologies LLC,"Wilmington, DE",3,156000,541511,It Analyst,Bi Analyst,41.0
Progress Software,"Burlington, MA",5,134000,513210,Senior Data Engineer,Senior Data Science Engineer | Business Systems Analyst Ii,41.0
R&G US Inc,"Somerset, NJ",18,78894,54199,Statistical Programmer,Statistical Analyst (Sas Programming),41.0
RJTECHGLOBAL INC,"Malvern, PA",9,89336,541511,Database Analyst,Database Administrator | Sap Hana Developer/Analyst,41.0
SUPERLOGIX INC,"Plainsboro, NJ",9,70000,541511,Software Engineer (Bi Developer),Database Engineer | Bi Architect,41.0
TECH-APEX SOLUTIONS INC.,"Irving, TX",10,92000,541511,Business Analyst,Senior Data Engineer | Sql Database Administrator,41.0
TECHNOCRAFT SOLUTIONS LLC,"Hilliard, OH",12,77275,541511,Business Systems Analyst,Systems Analyst/Java Developers | Product Analyst,41.0
TEKSKILLS INC,"Princeton, NJ",9,,541511,Business Intelligence Analyst,Oracle Functional Consultant | Salesforce Administrator,41.0
TSQ SYSTEMS INC,"Irving, TX",12,76544,541511,Quality Analyst,Systems Analyst | Database Administrator,41.0
Teknocrux LLC,"Farmers Branch, TX",12,,541511,Systems Analyst,Business Analyst | Software Quality Assurance Analyst,41.0
"The Emmes Company, LLC","Rockville, MD",9,109744,54171,Programmer/Analyst,Senior Biostatistician (P) | Project Leader - Biostatistician,41.0
The University of Toledo,"Toledo, OH",9,71915,611310,It Business Analyst,Enterprise Application Analyst | Post Doc,41.0
"TuniraSoft, LLC","Herndon, VA",15,90000,541511,Programmer Analyst,Oracle Apps Specialist | Programmer Analyst - Edi Analyst,41.0
WAILEA SYSTEMS LLC,"Cranbury, NJ",15,70304,541511,Business Intelligence Analyst,Quality Analyst | Systems Analyst,41.0
"WestRock Services, LLC","Atlanta, GA",6,123057,541420,"Senior Analyst, It & Digital Engineering & Architecture","Analyst Process Improvement | Sr. Analyst, It & Digital Engineering And Architecture",41.0
nVent Management Company,"St. Louis Park, MN",4,138406,33599,Hr Technology Analyst,Senior Database Administrator | Sap Pp & Vc Systems Analyst,41.0
"ADELAIDE METRICS, INC.","New York, NY",5,140000,541810,Senior Data Engineer,Machine Learning Data Engineer | Data Engineer,40.9
"ALVAREZ & MARSAL HOLDINGS, LLC","New York, NY",2,160000,54161,"Senior Director, Insight Center Analytics Lead","Senior Associate, Executive Talent Acquisition Researcher",40.9
AVANSA IT SOLUTIONS LLC.,"Cranbury, NJ",8,93870,54151,Lead Business Systems Analyst,Market Research Analyst | Business Analyst,40.9
"Akuna Capital, LLC","Chicago, IL",5,140000,523130,Quantitative Researcher,Senior Quantitative Researcher | Junior Quantitative Researcher,40.9
"Atyeti, Inc.","Princeton, NJ",7,105000,541511,Business Information Analyst,Senior Business Information Analyst | Senior Business Analyst,40.9
BRP Colleague Inc,"Tampa, FL",2,160000,541214,Senior Data Engineer,Data Engineering Lead,40.9
"Brand Shared Services, LLC","Atlanta, GA",4,138000,238990,Principal – Data Engineer,"Manager, Market Analytics | Sales Operations Analyst",40.9
Cellco Partnership,"Basking Ridge, NJ",2,159916,51781,Associate Director - Data Engineering,Princ Engr-Data Engineering,40.9
"Cognitive Technology Solutions, Inc.","Wilmington, DE",8,107350,541511,Data Engineer,Machine Learning Engineer | Business System Analyst,40.9
Everest Clinical Research Corp,"Bridgewater, NJ",8,120480,54169,Biostatistician Ii,Senior Statistical Programmer I | Statistical Programmer Ii,40.9
Fiber Sense US LLC,"Miami Beach, FL",2,160000,541715,Data Engineer,Head Of Machine Learning And Artificial Intelligence,40.9
Lane Automotive,"Watervliet, MI",3,155603,4231,Senior Programmer Analyst,Sr. Microstrategy Developer/ Analyst,40.9
"Lexmark International, Inc.","Lexington, KY",3,155520,334118,Sr Data Engineer (Azure Cloud),Azure Data Architect,40.9
"MOTION RECRUITMENT PARTNERS, LLC","Boston, MA",3,148782,561320,Big Data Analyst Iii,Data Architect | Uba Consultant Ii,40.9
"Marex Services, Inc.","New York, NY",2,160000,523160,Alteryx Analyst,Peoplesoft Support Analyst,40.9
Natixis North America LLC,"New York, NY",2,160000,523110,"Vice President, It Finance Development Analyst","Vice President, Independent Price Verification Analyst",40.9
PALL CORPORATION,"Port Washington, NY",2,159977,54171,Crm Lead Analyst,"Manager, Manufacturing Systems",40.9
Ramp Business Corporation,"New York, NY",8,107000,522210,Senior Analytics Engineer,Market Research Analyst | Group Product Manager,40.9
S4 Analytics LLC,"Little Elm, TX",11,100500,541380,Statistical Programmer,Senior Clinical Sas Programmer | Statistical  Programmer,40.9
Scientech Research LLC,"Jersey City, NJ",2,160000,523930,Senior Data Analyst,Quantitative Researcher,40.9
"SemanticBits, LLC","Reston, VA",5,140000,5415,Senior Data Engineer,Lead Data Engineer | Data Engineer,40.9
Sprinklr Inc.,"New York, NY",5,140000,54151,Commercial Analyst,Senior Data Scientist | Product Solutions And Support Engineer,40.9
pSOLV LLC,"Dallas, TX",12,96138,511210,Data Engineer,Lead Data Engineer | Data Architect,40.9
"BANDWIDTH, INC.","Raleigh, NC",2,159698,517919,Data Engineer Iii,"Manager, Data Engineering",40.8
"CLOUDKARMA, INC","Houston, TX",8,120000,541519,Cloud Data Engineer,Gcp Data Engineer | Data Engineer,40.8
"Cheniere Energy, Inc.","Houston, TX",4,137500,32512,"Analyst, Hrms Applications - Kbgfjg105886-4","Specialist, Hrms Applications - Kbgfjg287877-2 | Senior Database Administrator - Kbgfjg315830-2",40.8
"Ellkay, LLC","Elmwood Park, NJ",10,91330,541511,Senior Data Engineer,Business Intelligence Analyst | Data Engineer,40.8
HORIZON ADVANCED SYSTEMS INC,"Iselin, NJ",3,148699,541511,Senior Business Intelligence Developer,Data Analyst | Qlik Sense Administrator,40.8
INOVA HEALTH CARE SERVICES,"Fairfax, VA",5,133024,622110,Oracle Erp Systems Analyst,Bi Developer Senior | Epic Certified Business Intelligence Developer,40.8
KLC CONSULTING INC,"Tallahassee, FL",7,117915,541511,Sap Erp Programmer Analyst,Applications Development Analyst | Business Analyst,40.8
Karyopharm Therapeutics Inc.,"Newton, MA",6,128578,3254,Senior Clinical Data Manager,Sr Clinical Data Manager | Senior Biostatistician,40.8
Metropolitan Telecommunications of Texas Inc,"New York, NY",2,166000,51791,Senior Database Administrator,,40.8
"NEC Laboratories America, Inc.","Princeton, NJ",7,131000,5417,Postdoctoral Scientist,Researcher | Senior Associate Researcher,40.8
Nirvana Enterprises LLC,"Edison, NJ",8,120000,54151,Data Engineer,It Business Analyst Iv | Sr. Business Systems Analyst,40.8
SSTech LLC,"Sterling, VA",10,91450,541511,Data Analyst,Data Engineer | Market Research Analyst,40.8
Scipher Medicine Corporation,"Waltham, MA",3,161803,5417,Senior Data Scientist,,40.8
StackAdapt US Inc.,"Lewes, DE",3,155000,541810,Data Scientist,Staff Data Scientist,40.8
State of Wisconsin Investment Board,"Madison, WI",7,124500,523920,Information Delivery Analyst,Business Systems Analyst | Senior Business Systems Analyst,40.8
"V Opco, LLC","New York, NY",3,155000,448140,"Manager, Data Engineering",Data Analyst,40.8
CSRA State and Local Solutions LLC,"Falls Church, VA",9,115000,541511,It Quality Analyst Senior,Database Analyst Sr. Advisor | It Quality Analyst Sr. Advisor,40.7
Campbell Soup Company,"Camden, NJ",8,99507,311999,Senior Data Scientist,Analyst R&D | Analytics Analyst,40.7
Corning Research & Development Corporation,"Corning, NY",3,154508,54171,"Sr. Research Scientist,High Performance Computing Consulting","Sr. Research Scientist, Reliability",40.7
"Edgewell Personal Care, LLC","Shelton, CT",5,126210,8121,Data Scientist,"Data Engineer | Sap Senior Analyst, Supply Chain & Operations Applications",40.7
"Edify Technologies, Inc.","Naperville, IL",9,102000,541512,Senior Database Engineer,Business Analyst | Senior Business Analyst,40.7
"Fitch Ratings, Inc.","New York, NY",3,148000,523930,Senior Quality Assurance Analyst,"Associate Director | Crm Developer, Senior",40.7
Harris County Hospital District,"Bellaire, TX",7,117458,622110,Epic Business Analyst Iii,"Business Analyst - Hosp Ops | Process Engineer Ii, Operational Excellence",40.7
InMarket Media LLC,"Austin, TX",6,114909,54181,Senior Data Engineer,Sr. Big Data Platform Engineer | Big Data Solutions Engineer,40.7
"Ipsen Biopharmaceuticals, Inc.","Cambridge, MA",2,159177,325411,Principal Statistical Programmer,"Associate Director, Business Integrated Insights",40.7
Next Gen Software Solutions LLC,"Ashburn, VA",7,103938,541512,It System Analyst,Software Quality Assurance Analyst/Tester | Ai/Ml Engineer,40.7
NowThis Media Group LLC,"New York City, NY",2,165807,516210,Head Of Analytics,,40.7
"ONE Gas, Inc.","Tulsa, OK",10,110552,221210,Senior Development Analyst,Technical Consultant | Software Development Analyst,40.7
"Oliver Wyman, LLC","New York, NY",10,97396,541611,Analyst,Senior Analyst | Senior Designer,40.7
"RELIANCE GLOBAL SERVICES, INC.","South Plainfield, NJ",6,115096,541511,Sap Business Analyst,Data Analyst (Ai/Ml) | Senior Sap Analyst,40.7
Solve IT Services Inc,"Schaumburg, IL",10,104000,541519,Senior Programmer Analyst,Salesforce Techno Functional Ba | Sr Programmer Analyst/Solution Architect,40.7
"Sotheby's, Inc.","New York, NY",2,158987,453920,Senior Data Engineer,Senior Data Scientist,40.7
THINK BIG SOLUTIONS INC,"Germantown, MD",8,106250,541511,Data Scientist,Architect | Data Analyst,40.7
TROUTMAN PEPPER LOCKE LLP formerly Troutman Pepper Hamilton Sanders LLP,"Atlanta, GA",3,148100,541110,Data Engineer,Director Of Competitive Intelligence | Sr. Collaboration Solutions Developer,40.7
"VASTIKA, INC.","Irving, TX",9,101920,541511,Data Analyst,Business Analyst | Data Engineer,40.7
AMPSIGHT,"Ashburn, VA",4,156603,511210,Machine Learning Scientist,,40.6
"CLOUD IT TEC, INC.","Mckinney, TX",10,97065,541511,Data Engineer,Oracle Applications Database Administrator | Business Analyst,40.6
CW PROFESSIONAL SERVICES LLC,"Detroit, MI",5,125662,541519,Senior Analyst,Senior Consultant - Project Management | Data Scientist,40.6
