name,hq,data_filings,median_wage,naics,relevant_title,other_titles,score
Nantez Inc,"Herndon, VA",7,85500,541511,Bi Developer,Market Research Analyst | Pricing Data Analyst,34.5
"Natixis Advisors, LLC","Boston, MA",3,121000,523920,Data Engineer,Associate Data Scientist | Senior Data Scientist,34.5
Oasys Technologies Inc,"Eagan, MN",7,89211,541511,Business Analyst,Software Qa Analyst | Software Engineer - Etl,34.5
Pilot Technologies LLC,"Plainsboro, NJ",7,80850,541511,Data Scientist,Database  Administrator | Data  Analyst,34.5
"Populus Financial Group, Inc.","Irving, TX",2,131858,522291,Sr. Etl Developer,Business Intelligence Manager,34.5
"Power Home Remodeling Group, LLC","Chester, PA",2,131996,236118,Data Analyst,Director Of Business Intelligence,34.5
"Propel Solutions, Inc.","Sugar Land, TX",7,85000,541511,Sap Supply Chain Management Analyst,Sap Qa Analyst | Sap Analyst (Supply Chain Management),34.5
QBrainX Inc,"Bentonville, AR",7,80420,541511,Programmer Analyst,Data Architect | Data Engineer,34.5
RICHMOND GREEN INC,"Edison,, NJ",7,72045,541511,Programmer Analyst,Business Intelligence Specialist | Software Quality Assurance Analyst,34.5
S2Integrators LLC,"Atlanta, GA",7,86403,541512,System Analyst,Sap Basis Consultant | Sr. It Business Analyst,34.5
"S4Cloud, LLC","Frisco, TX",7,80621,541511,Data Engineer,Data Analyst | Sap Analyst,34.5
SDVS Technologies LLC,"Flower Mound, TX",9,101192,541519,System Analyst,Database Administrator,34.5
"SLRI SOLUTIONS, LLC","Katy, TX",7,110000,541990,Sap Successfactors And Data Conversion Consultant,Sap Hcm Senior Solution Analyst,34.5
Software Bloc LLC,"Plano, TX",5,105206,541511,Data Analyst,Senior Machine Learning Engineer | System Analyst,34.5
THE BSST SOFTWARE GROUP,"Northborough, MA",7,82243,541511,Data Analyst,Database Administrator | Senior Business Intelligence Consultant,34.5
Technocorp Solutions Inc,"Houston, TX",7,88566,541511,Business Systems Analyst,Business System Analyst | Business Analyst,34.5
University of Louisiana at Lafayette,"Lafayette, LA",7,76000,611310,Research Associate,Junior Database Engineer/Administrator | Research Associate - Statistician,34.5
University of Nebraska Medical Center,"Omaha, NE",7,77000,611310,Programmer Analyst Ii,Assistant Professor | Assistant Project Director/Data Base Specialist,34.5
"Upskill Consultancy, Inc.","Jackson Heights, NY",10,,541511,Senior Quality Analyst,Senior Business Analyst | Lead Quality Analyst,34.5
VITS Consulting Corp,"Plymouth, MN",7,78894,541511,Market Research Analyst,Data Analyst | Digital Data Analytics Engineer,34.5
"Vecna Robotics, LLC","Waltham, MA",2,131861,541511,"Senior Software Engineer, Data [00061972]","Senior Software Engineer, Data [00079211]",34.5
"Wellmark, Inc.","Des Moines, IA",7,89700,524114,Data Science Associate,Senior Software Engineer | Software Engineer,34.5
Zenspace IT LLC,"Charlotte, NC",7,,541511,Data Engineer,Software Engineer | Data Analyst,34.5
"AASRITA CONSULTING, LLC.","Iselin, NJ",5,105000,541519,Business Intelligence Analyst,Business Analyst | Management Analyst,34.4
"Advanced Management Technology, Inc.","Arlington, VA",2,131270,541511,It Database Administrator/Sr. Programmer Analyst,Programmer Analyst,34.4
"Birch Grove Software, Inc.","Austin, TX",2,138000,541519,Principal Data Analyst,,34.4
"Bose Software Systems, LLC","Boca Raton, FL",2,131175,541511,Software Data Engineer,Business Analyst,34.4
"CHS Shared Business Operations, LLC","Franklin, TN",2,131500,5412,"Functional Analyst, Oracle Supply Chain Manager",Supply Chain Management Functional Analyst,34.4
"Cardus, Inc.","Farmington Hills, MI",5,98301,5415,Programmer Analyst,"Principal Architect – Bi, Data & Product Analytics | Logistics Analyst",34.4
Enel North America Inc.,"Andover, MA",5,105000,221115,Senior Program Analyst,"Senior Analyst, Contract And Account Management | Senior Planning And Control Analyst",34.4
Global Applications LLC,"Schaumburg, IL",8,91832,541511,Business Systems Analyst,Business Intelligence Analysts | Business Intelligence Analyst,34.4
