name,hq,data_filings,median_wage,naics,relevant_title,score
"ABio-X Holdings, Inc.","Needham, MA",1,94000,541715,Business Analyst,23.4
ABN Innovations LLC,"Duluth, GA",1,75000,541511,Data Scientist,22.5
"ABNA ENGINEERING, INC.","St. Louis, MO",1,57740,541330,Construction Analyst,22.5
ABRIDGE INFO SYSTEMS INC.,"Chelmsford, MA",1,95000,5415,Lead Business Analyst,23.6
ABS Digital Solutions LLC,"Spring, TX",1,141105,541330,Senior Product Support Analyst,34.1
Abt Electronics,"Glenview, IL",1,,454110,Senior Logistics Analyst,22.5
"Abt Global, Inc.","Rockville, MD",1,141856,541611,Senior Business Intelligence Analyst,34.3
Academic Collaboration for Excellence LLC,"Ballston Lake, NY",1,,923110,Data Scientist,22.5
"Academic Partnerships, LLC","Dallas, TX",1,89690,923110,Business Analyst,22.5
Acadia.io LLC,"Atlanta, GA",1,135000,541613,Analytics Team Lead,32.7
"Acadian Crossing Consumer Products, LLC","San Antonio, TX",1,70000,424130,Pricing & Cost Analyst,22.5
ACC Capital,"Little Rock, AR",1,68390,52229,Eb-5 Investor Market Research Analyst,22.5
ACC-Q-Data Florida LLC,"North Palm Beach, FL",1,65000,541219,Health Information Analyst,22.5
Accelecom Holdings LLC,"Sandy Springs, GA",1,85000,551112,Business Intelligence Engineer,22.5
ACCELERATION POINT LLC,"Roanoke, VA",1,88795,541613,Insight Analyst,22.5
"ACCELERIZE 360, INC.","Dallas, TX",1,82202,541511,Salesforce Business Analyst,22.5
"Accent Decor, Inc.","Chamblee, GA",1,100000,449129,Data Engineer,24.8
"Accent IT Staffing, Inc.","Chantilly, VA",1,,541511,Data Analyst,22.5
ACCENZ LLC,"Troy, MI",1,97032,541511,Etl Developer,24.1
Access Global Group,"Southlake, TX",1,130000,541511,Business Analyst,31.6
"Access Healthcare Services USA, LLC","Dallas, TX",1,170000,541611,"Director, Ai And Ml Research And Applications",40.7
Access Medical Acquisition Inc,"Miami, FL",1,68310,621498,Business Intelligence Analyst,22.5
"Accessible Space, Inc.","St Paul, MN",1,81370,623990,Healthcare Informatics Analyst,22.5
"AccessOne MedCard, Inc.","Fort Mill, SC",1,107016,522220,Power Bi Developer,26.4
Accident Fund Insurance Company of America,"Lansing, MI",1,113277,524114,Principal Data Engineer,27.8
Accomptant Inc.,"New York, NY",1,96000,541511,"Ai Scientist, Data Science",23.9
Accord BioPharma Inc.,"Raleigh, NC",1,70000,32541,Market Research Analyst,22.5
Accord Power Inc,"Somerset, NJ",1,60999,221114,Marketing Analyst,22.5
"Accreditation Association for Ambulatory Health Care, Inc.","Deerfield, IL",1,108285,813920,Data Engineer Ii,26.7
"Accruent, LLC","Austin, TX",1,212514,54151,Head Of Transformation And Ai,47.5
Accu Reference Medical Laboratory LLC,"Linden, NJ",1,95000,621511,Business Analyst,23.6
"AccurKardia, Inc.","New York, NY",1,120000,54151,Senior Computer Systems Analyst,29.3
"Accushield, LLC","Atlanta, GA",1,105000,54151,Senior Business Analyst,25.9
ACE BRANDS LLC,"Louisville, KY",1,57500,722513,Business Analyst,22.5
Ace Financials Technology LLC,"Land O' Lakes, FL",1,94370,541511,Data Engineer,23.5
"Ace Health Consultants, LLC","Tampa, FL",1,,541990,Management Analyst,22.5
"Acendre, Inc.","Arlington, VA",1,50000,541612,Market Research Analyst,22.5
Acentrik Technology Solutions LLC,"Irving, TX",1,92040,541511,Data Engineer,23.0
Acepoint Medical Services LLC,"Secaucus, NJ",1,75900,621610,Management Analyst,22.5
